Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login Logout,Chrome 132.0.0.0,,,2025-01-22 10:09:02,2025-01-22 10:09:23,20.487s,PASSED
,,,,,,,
Test Cases/Login Logout/Login,Chrome 132.0.0.0,,,2025-01-22 10:09:02,2025-01-22 10:09:21,19.043s,PASSED
openBrowser(URL),Chrome 132.0.0.0,,,2025-01-22 10:09:02,2025-01-22 10:09:06,3.983s,PASSED
maximizeWindow(),Chrome 132.0.0.0,,,2025-01-22 10:09:06,2025-01-22 10:09:07,0.067s,PASSED
"setText(findTestObject(""Login/Input Username""), username_Login)",Chrome 132.0.0.0,,,2025-01-22 10:09:07,2025-01-22 10:09:07,0.718s,PASSED
"setText(findTestObject(""Login/Input Password""), password_Login)",Chrome 132.0.0.0,,,2025-01-22 10:09:07,2025-01-22 10:09:08,0.648s,PASSED
delay(10),Chrome 132.0.0.0,,,2025-01-22 10:09:08,2025-01-22 10:09:18,10.032s,PASSED
takeScreenshot(),Chrome 132.0.0.0,,,2025-01-22 10:09:18,2025-01-22 10:09:18,0.416s,PASSED
"click(findTestObject(""Login/Button Login""))",Chrome 132.0.0.0,,,2025-01-22 10:09:18,2025-01-22 10:09:19,0.526s,PASSED
delay(2),Chrome 132.0.0.0,,,2025-01-22 10:09:19,2025-01-22 10:09:21,2.014s,PASSED
takeScreenshot(),Chrome 132.0.0.0,,,2025-01-22 10:09:21,2025-01-22 10:09:21,0.367s,PASSED
,,,,,,,
Test Cases/Login Logout/Logout,Chrome 132.0.0.0,,,2025-01-22 10:09:21,2025-01-22 10:09:23,1.272s,PASSED
"click(findTestObject(""Logout/Button Logout""))",Chrome 132.0.0.0,,,2025-01-22 10:09:22,2025-01-22 10:09:22,0.592s,PASSED
delay(0),Chrome 132.0.0.0,,,2025-01-22 10:09:22,2025-01-22 10:09:22,0.002s,PASSED
takeScreenshot(),Chrome 132.0.0.0,,,2025-01-22 10:09:22,2025-01-22 10:09:23,0.387s,PASSED
